,0
613,CON-044
812,CON-044
841,CON-059
552,CON-031
879,CON-059
1022,CON-038
1062,CON-053
549,CON-021
261,CON-025
177,CON-068
969,CON-007
569,CON-047
676,CON-014
316,CON-012
860,CON-057
834,CON-024
803,CON-014
236,CON-039
455,CON-022
89,CON-028
159,CON-067
664,CON-015
152,CON-050
927,CON-022
634,CON-057
625,CON-030
72,CON-030
828,CON-025
380,CON-025
347,CON-047
494,CON-037
558,CON-013
912,CON-001
249,CON-036
572,CON-018
807,CON-032
288,CON-011
968,CON-012
705,CON-057
1055,CON-067
40,CON-068
94,CON-067
745,CON-055
451,CON-016
907,CON-017
717,CON-052
76,CON-028
409,CON-013
200,CON-041
63,CON-044
868,CON-008
777,CON-016
1053,CON-059
611,CON-015
113,CON-019
90,CON-002
693,CON-023
985,CON-050
660,CON-039
160,CON-012
1015,CON-010
138,CON-036
972,CON-060
17,CON-063
509,CON-060
607,CON-055
1044,CON-024
511,CON-023
186,CON-039
405,CON-042
798,CON-014
801,CON-053
452,CON-016
257,CON-037
285,CON-003
414,CON-017
749,CON-056
118,CON-067
298,CON-057
344,CON-055
304,CON-058
143,CON-002
739,CON-069
784,CON-052
170,CON-060
1025,CON-027
66,CON-032
496,CON-035
384,CON-061
778,CON-047
404,CON-028
519,CON-030
252,CON-003
321,CON-027
1028,CON-068
104,CON-032
924,CON-061
250,CON-023
267,CON-030
226,CON-014
876,CON-041
70,CON-018
782,CON-067
35,CON-051
1019,CON-049
553,CON-067
100,CON-042
989,CON-035
574,CON-031
445,CON-003
187,CON-027
654,CON-016
171,CON-009
340,CON-024
822,CON-039
959,CON-013
750,CON-061
981,CON-035
616,CON-004
360,CON-031
107,CON-039
164,CON-006
161,CON-011
554,CON-035
819,CON-020
251,CON-055
385,CON-044
684,CON-012
