,0
579,CON-065
548,CON-022
201,CON-030
11,CON-015
295,CON-017
695,CON-056
685,CON-014
814,CON-027
207,CON-013
767,CON-018
248,CON-014
532,CON-036
604,CON-034
1044,CON-019
1034,CON-024
966,CON-008
60,CON-023
375,CON-056
992,CON-004
356,CON-069
872,CON-031
299,CON-015
1012,CON-051
634,CON-014
785,CON-015
1011,CON-030
3,CON-042
806,CON-067
610,CON-032
1007,CON-024
802,CON-016
305,CON-021
165,CON-059
651,CON-018
368,CON-021
904,CON-051
533,CON-012
351,CON-016
874,CON-068
384,CON-036
501,CON-061
726,CON-032
969,CON-003
867,CON-001
1025,CON-042
335,CON-007
23,CON-013
847,CON-041
