,0
0,0
1,1
2,2
3,3
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,15
14,16
15,17
16,18
17,20
18,21
19,22
20,23
21,24
22,25
23,26
24,28
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,40
35,41
36,43
37,44
38,45
39,46
40,47
41,48
42,49
43,52
44,53
45,54
46,55
47,56
48,57
49,58
50,61
51,63
52,64
53,65
54,66
55,67
56,69
57,70
58,71
59,72
60,74
61,75
62,76
63,77
64,78
65,79
66,80
67,81
68,82
69,83
70,84
71,85
72,86
73,89
74,90
75,91
76,93
77,94
78,95
79,96
80,97
81,98
82,99
83,101
84,102
85,104
86,105
87,106
88,107
89,108
90,109
91,112
92,113
93,115
94,117
95,118
96,119
97,120
98,121
99,122
100,123
101,125
102,126
103,127
104,128
105,129
106,131
107,133
108,135
109,136
110,137
111,139
112,140
113,141
114,142
115,143
116,144
117,145
118,148
119,149
120,151
121,152
122,153
123,154
