,0
0,CON-041
1,CON-013
2,CON-048
3,CON-036
4,CON-028
5,CON-054
6,CON-021
7,CON-034
8,CON-061
9,CON-008
10,CON-024
11,CON-031
12,CON-020
13,CON-026
14,CON-015
15,CON-037
16,CON-065
17,CON-001
18,CON-049
19,CON-055
20,CON-027
21,CON-068
22,CON-067
23,CON-009
24,CON-006
25,CON-052
26,CON-058
27,CON-053
28,CON-019
29,CON-004
30,CON-050
31,CON-038
32,CON-017
33,CON-033
34,CON-047
35,CON-022
36,CON-025
37,CON-069
38,CON-064
39,CON-030
40,CON-007
41,CON-066
42,CON-039
43,CON-063
44,CON-011
45,CON-051
46,CON-032
47,CON-043
48,CON-042
49,CON-023
50,CON-010
51,CON-035
52,CON-045
53,CON-044
54,CON-016
55,CON-029
56,CON-056
57,CON-057
58,CON-046
59,CON-002
60,CON-060
61,CON-018
62,CON-012
63,CON-003
64,CON-014
65,CON-059
66,CON-005
67,CON-001
68,CON-013
69,CON-025
70,CON-054
71,CON-034
72,CON-044
73,CON-005
74,CON-050
75,CON-052
76,CON-064
77,CON-060
78,CON-037
80,CON-017
81,CON-026
82,CON-047
83,CON-068
84,CON-023
85,CON-010
86,CON-038
87,CON-021
88,CON-038
89,CON-025
90,CON-003
91,CON-033
92,CON-015
93,CON-052
94,CON-015
95,CON-046
96,CON-021
97,CON-035
98,CON-034
99,CON-043
100,CON-042
101,CON-009
103,CON-049
104,CON-015
105,CON-016
106,CON-002
107,CON-055
108,CON-052
109,CON-011
110,CON-030
111,CON-047
112,CON-041
113,CON-039
114,CON-006
115,CON-021
116,CON-021
117,CON-005
118,CON-024
119,CON-034
121,CON-010
122,CON-011
123,CON-053
124,CON-007
125,CON-022
126,CON-048
127,CON-052
128,CON-065
129,CON-044
130,CON-049
131,CON-026
132,CON-038
133,CON-047
135,CON-045
136,CON-012
137,CON-050
138,CON-039
139,CON-068
140,CON-036
141,CON-027
142,CON-020
143,CON-019
144,CON-060
145,CON-020
146,CON-029
147,CON-030
148,CON-048
149,CON-054
150,CON-064
151,CON-008
