,0
811,CON-008
969,CON-035
694,CON-014
803,CON-067
440,CON-025
528,CON-010
545,CON-067
483,CON-037
939,CON-002
189,CON-053
476,CON-042
800,CON-041
861,CON-029
58,CON-064
259,CON-048
737,CON-045
644,CON-018
884,CON-068
731,CON-033
88,CON-008
812,CON-008
615,CON-028
690,CON-012
1065,CON-053
269,CON-043
735,CON-056
758,CON-013
654,CON-007
752,CON-009
949,CON-018
260,CON-039
909,CON-042
205,CON-035
1011,CON-004
637,CON-027
379,CON-032
902,CON-067
810,CON-010
711,CON-019
463,CON-064
886,CON-021
185,CON-027
84,CON-016
609,CON-064
28,CON-005
164,CON-046
27,CON-009
48,CON-008
251,CON-023
330,CON-059
868,CON-004
162,CON-010
409,CON-003
61,CON-027
851,CON-037
662,CON-026
371,CON-003
106,CON-068
840,CON-045
342,CON-013
310,CON-060
256,CON-050
82,CON-021
950,CON-023
